64,707.2219,2552.5799,352.8786,1273.6469
100,1109.1711,3561.9555,554.1145,1779.4652
128,1518.6221,3551.0783,758.9173,1774.6185
200,1783.1110,4320.9993,891.3661,2160.0407
256,1840.6772,3933.5649,920.2193,1966.5274
512,1892.0226,5313.8577,945.9806,2656.8427
600,1940.2012,3474.2360,970.0777,1737.0770
900,1934.1380,5079.5060,967.0589,2539.7263
1024,1919.7004,5529.9985,959.8424,2764.9769
2000,1865.5716,5729.4030,932.7838,2864.6954
2048,1856.5095,5281.5649,928.2528,2640.7771
3000,1873.6239,5884.2391,936.8111,2942.1168
4000,1853.7669,6018.3548,926.8828,3009.1755
