64,0.0474,0.1010
100,0.0356,0.0831
128,0.1388,0.1411
200,0.3907,0.2251
256,0.4462,0.4069
512,0.4913,0.4144
600,0.1315,0.1634
900,0.1005,0.2879
1024,0.4537,0.3866
2000,0.2325,0.4424
2048,0.3252,0.2938
3000,0.2458,0.4540
4000,0.4617,0.4327
